district,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
Ampara,PF,69.46609690755093,31.244205755972352,640653.0275878913,25014.435089111328,9676.148788452148,2.7770404032745564,3.2289918684653,0.1084301391177315,0.04876930945539932
Anuradhapura,PF,68.78240687724337,47.59046004809313,826893.0331435197,37336.526475429535,25760.436737060547,1.842228331618041,1.8474244258299615,0.08318174675599807,0.05755334504049823
Badulla,PF,51.93102931891185,60.90943224511679,796074.1737976081,61579.86358642578,36675.84371948242,0.843311860313363,1.6607506758668333,0.06523390787968793,0.07651225758845212
Batticaloa,PF,169.64534140779364,192.27913599406307,519869.87666320906,36813.422760009766,63933.27229309082,4.608246902596585,3.007497177879356,0.3263226992428649,0.3698601219755393
Colombo,PF,911.462556254678,359.8311066920918,2225629.411241526,8996.554220199585,22459.043897628784,101.31240627752895,16.021657392551898,0.4095302441866257,0.16167611053062367
Galle,PF,83.22162803010174,65.809200528023,1038462.0117416389,55343.08589935303,46962.683223724365,1.5037402898249774,1.401308358266417,0.08013930898688147,0.06337179384891722
Gampaha,PF,374.4429631398338,140.98198098092274,2249491.0662584254,20419.11675262451,26977.97566699982,18.33786287997525,5.225817634396329,0.1664567460419588,0.06267283435600295
Hambantota,PF,107.76807399580379,91.13778338509782,588832.1809787746,18287.395751953125,10416.433876037598,5.893024652473766,8.749422736197175,0.18302001398202872,0.15477717816578207
Kalutara,PF,465.5530960570928,355.0972338479538,1199999.6694717428,15899.99981689453,21018.671585083008,29.2800692715996,16.894370912573134,0.38796102024097723,0.29591444304669917
Kandy,PF,60.71859370370667,36.25707681939066,1337618.1810989375,49581.126861572266,33231.82530975342,1.224631176157605,1.0910347680706345,0.04539306848672057,0.027105699766732532
Kegalle,PF,143.29145813894732,72.84644061016552,823559.790054321,33892.18965911865,21139.43211364746,4.2278607425529655,3.445997991740582,0.17399035245455097,0.08845312931725413
Kurunegala,PF,208.55383471355142,137.30824537957088,1577116.2096023525,42343.64205932617,59740.32424545288,4.925269168423303,2.29841814743786,0.13223745558111746,0.08706285849042868
Mannar,PF,164.74437088564636,153.49343947415994,96926.78565216072,7440.107936859131,12006.569816589357,22.142739363965973,12.78412084541245,1.6996784715100457,1.5836018747696727
Matale,PF,25.1425539078461,18.866787781548062,472935.4882240292,23645.407752990723,13428.343784332275,1.0633165716783215,1.4049973760398637,0.053162755880853015,0.039892941535000385
Moneragala,PF,11.964914237074494,12.63328175258669,440183.41630744975,43942.508476257324,47754.72426605224,0.2722856444014634,0.2645451721635718,0.0271816560865562,0.028700040220876633
Mullaitivu,PF,11.41009344822808,15.666339950460852,90453.01899719241,10378.33906555176,15630.530891418457,1.0994142103239781,1.002290968828324,0.12614386534276142,0.1731986408430118
Nuwara Eliya,PF,0.3703723649241971,0.18372500059812663,704481.8135375985,31115.65707397461,15082.1199798584,0.011903086733591098,0.012181642954935009,0.0005257372976945276,0.00026079452594459507
Polonnaruwa,PF,181.09676211272176,201.21185390709218,392103.64172506327,16200.262985229492,10187.446060180664,11.178631006042052,19.75096140077368,0.46185942399306734,0.5131598702370092
Puttalam,PF,213.5586233598523,317.32626795083627,751799.2429351805,20540.667022705078,17566.73388671875,10.396868958724202,18.064044801791493,0.2840633658077056,0.42208910281942896
Rathnapura,PF,1360.6672938271877,1347.5828511983289,1074393.9690780637,62119.70544433593,49968.53268432617,21.90395598457,26.968629631604742,1.266450978866509,1.2542725387361289
Trincomalee,PF,236.66262568087419,197.9221093966834,374080.6492004392,23376.50996398926,10378.777908325195,10.123950326436457,19.06988579434992,0.632651344534173,0.5290894084463404
Vavuniya,PF,7.1081024574787905,4.923196010652463,166535.9988632203,2887.5459747314453,2741.3409729003906,2.4616413105387442,1.7959079367801623,0.04268207778497688,0.029562353150420006
