district,pop_q1,Asset risk pc,Well-being risk pc
Nsanje,57,22338.26,333760.62
Chikwawa,111,8866.2,120764.1
Neno,32,10100.5,83362.86
Mangochi,210,6242.34,69019.01
Chiradzulu,135,5042.7,63440.42
Phalombe,78,3561.14,62415.49
Zomba,81,6064.83,57607.66
Mulanje,114,3989.98,54722.23
Machinga,126,4450.88,54572.4
Balaka,82,5027.73,51983.31
Total,3253,5356.93,51346.07
Zomba City,29,12956.86,49010.52
Ntcheu,119,4456.93,44388.12
Thyolo,132,3412.88,43408.04
Salima,86,3560.64,42035.79
Dedza,150,3476.37,41474.31
Mwanza,21,4116.07,40321.54
Chitipa,45,3127.68,39875.99
Ntchisi,60,3780.69,39157.48
Mchinji,123,4048.17,38862.88
Nkhotakota,79,3678.64,38581.66
Karonga,70,3663.11,37989.16
Lilongwe,299,4198.84,37644.89
Kasungu,175,3959.04,37075.45
Rumphi,45,3903.97,36758.55
Dowa,160,4113.94,36050.85
Blantyre,65,4746.49,36015.32
Mzimba,45,4297.33,35394.13
Nkhata Bay,57,3812.31,34528.45
Likoma,2,5170.58,30816.38
Lilongwe City,217,6893.24,28250.94
Mzuzu City,48,7624.84,26794.72
Blantyre City,185,8158.28,25890.34
